products_id,pdt_name,categories_id,products_status,promo_id,category_1,category_2,category_3,ps_cat,pd_cat,pdt_id_x,qty,pdt_id_y,stock,pdt_segment,statut_stock,performance
34,Produit Ustensiles 034,9,inactive,2.0,Maison,Cuisine,Ustensiles,234.96,209.36,,0.0,34,166,Premium,Élevé,Aucune
35,Produit Micro-ondes 035,11,inactive,3.0,Maison,Électroménager,Micro-ondes,36.41,32.08,,0.0,35,196,Standard,Élevé,Aucune
36,Produit Randonnée 036,13,active,3.0,Sport,Outdoor,Randonnée,141.89,126.78,36.0,22.0,36,261,Standard,Élevé,Bon
37,Produit Micro-ondes 037,11,inactive,2.0,Maison,Électroménager,Micro-ondes,386.04,342.02,,0.0,37,247,Premium,Élevé,Aucune
38,Produit Sneakers 038,7,inactive,1.0,Mode,Chaussures,Sneakers,35.21,33.74,,0.0,38,9,Premium,Faible,Aucune
39,Produit Cables 039,4,active,4.0,Électronique,Accessoires,Cables,771.07,748.11,39.0,51.0,39,291,Standard,Élevé,Top
40,Produit Robes 040,6,active,1.0,Mode,Vêtements Femme,Robes,87.79,75.19,40.0,83.0,40,174,Standard,Élevé,Top
41,Produit Laptops 041,2,inactive,4.0,Électronique,Ordinateurs,Laptops,972.7,817.37,,0.0,41,455,Standard,Élevé,Aucune
42,Produit Football 042,14,active,2.0,Sport,Sports Collectifs,Football,244.89,229.6,42.0,61.0,42,135,Standard,Élevé,Top
43,Produit Cables 043,4,inactive,3.0,Électronique,Accessoires,Cables,351.72,316.42,,0.0,43,445,Premium,Élevé,Aucune
44,Produit Randonnée 044,13,active,2.0,Sport,Outdoor,Randonnée,70.2,58.39,44.0,64.0,44,243,Standard,Élevé,Top
45,Produit Ustensiles 045,9,inactive,4.0,Maison,Cuisine,Ustensiles,334.39,312.87,,0.0,45,233,Standard,Élevé,Aucune
46,Produit Sacs 046,8,active,,Mode,Accessoires Mode,Sacs,246.05,242.75,46.0,85.0,46,465,Économique,Élevé,Top
47,Produit Micro-ondes 047,11,active,4.0,Maison,Électroménager,Micro-ondes,292.22,270.85,47.0,9.0,47,352,Standard,Élevé,Moyen
48,Produit Ustensiles 048,9,active,3.0,Maison,Cuisine,Ustensiles,317.29,297.65,48.0,21.0,48,33,Premium,Normal,Bon
49,Produit Cables 049,4,active,2.0,Électronique,Accessoires,Cables,75.51,61.83,49.0,51.0,49,232,Standard,Élevé,Top
50,Produit Micro-ondes 050,11,active,2.0,Maison,Électroménager,Micro-ondes,110.31,103.81,50.0,11.0,50,480,Économique,Élevé,Moyen
