sale_id,products_id,pdt_name,region_name,city_name,city_type,zone_climatique,density_type,quantity,date_vente
40,8,Produit Casques 008,Provence-Alpes-Côte d'Azur,Nice,Grande Ville,Sud,Moyen,2,2025-06-22
41,8,Produit Casques 008,Nouvelle-Aquitaine,Toulouse,Grande Ville,Sud,Moyen,2,2025-07-17
42,8,Produit Casques 008,Occitanie,Perpignan,Grande Ville,Sud,Moyen,2,2025-07-11
43,8,Produit Casques 008,Hauts-de-France,Calais,Grande Ville,Nord,Dense,2,2025-03-26
44,8,Produit Casques 008,Grand Est,Metz,Grande Ville,Nord,Moyen,1,2025-01-27
45,8,Produit Casques 008,Pays de la Loire,Nantes,Grande Ville,Nord,Moyen,1,2025-02-25
46,8,Produit Casques 008,Normandie,Le Havre,Grande Ville,Nord,Rural,1,2025-01-19
47,9,Produit Coussins 009,Provence-Alpes-Côte d'Azur,Nice,Grande Ville,Sud,Moyen,10,2025-01-09
48,9,Produit Coussins 009,Nouvelle-Aquitaine,Toulouse,Grande Ville,Sud,Moyen,7,2025-07-31
49,9,Produit Coussins 009,Île-de-France,Versailles,Grande Ville,Nord,Dense,3,2024-12-11
50,9,Produit Coussins 009,Auvergne-Rhône-Alpes,Grenoble,Grande Ville,Nord,Dense,1,2025-03-22
51,9,Produit Coussins 009,Occitanie,Montpellier,Grande Ville,Sud,Moyen,1,2025-04-07
52,9,Produit Coussins 009,Hauts-de-France,Calais,Grande Ville,Nord,Dense,1,2025-02-05
53,9,Produit Coussins 009,Grand Est,Metz,Grande Ville,Nord,Moyen,1,2025-03-09
54,9,Produit Coussins 009,Pays de la Loire,Le Mans,Grande Ville,Nord,Moyen,1,2025-06-16
55,9,Produit Coussins 009,Normandie,Rouen,Grande Ville,Nord,Rural,1,2025-05-02
56,10,Produit T-shirts 010,Île-de-France,Paris,Métropole,Nord,Dense,16,2025-04-09
57,10,Produit T-shirts 010,Auvergne-Rhône-Alpes,Lyon,Métropole,Nord,Dense,7,2025-02-28
58,10,Produit T-shirts 010,Provence-Alpes-Côte d'Azur,Nice,Grande Ville,Sud,Moyen,6,2025-04-11
59,10,Produit T-shirts 010,Nouvelle-Aquitaine,Limoges,Grande Ville,Sud,Moyen,5,2025-02-24
60,10,Produit T-shirts 010,Occitanie,Montpellier,Grande Ville,Sud,Moyen,5,2024-09-04
61,10,Produit T-shirts 010,Hauts-de-France,Lille,Grande Ville,Nord,Dense,4,2025-02-15
62,10,Produit T-shirts 010,Grand Est,Reims,Grande Ville,Nord,Moyen,4,2024-10-26
63,10,Produit T-shirts 010,Pays de la Loire,Angers,Grande Ville,Nord,Moyen,3,2025-05-11
64,10,Produit T-shirts 010,Normandie,Le Havre,Grande Ville,Nord,Rural,2,2024-11-24
65,11,Produit Yoga 011,Île-de-France,Paris,Métropole,Nord,Dense,3,2025-06-26
66,11,Produit Yoga 011,Provence-Alpes-Côte d'Azur,Marseille,Métropole,Sud,Moyen,4,2025-07-16
67,11,Produit Yoga 011,Auvergne-Rhône-Alpes,Lyon,Métropole,Nord,Dense,1,2025-08-14
68,11,Produit Yoga 011,Nouvelle-Aquitaine,Limoges,Grande Ville,Sud,Moyen,1,2025-06-10
69,11,Produit Yoga 011,Occitanie,Perpignan,Grande Ville,Sud,Moyen,1,2025-05-28
70,11,Produit Yoga 011,Hauts-de-France,Lille,Grande Ville,Nord,Dense,1,2025-02-27
71,11,Produit Yoga 011,Grand Est,Strasbourg,Grande Ville,Nord,Moyen,1,2025-06-12
72,11,Produit Yoga 011,Pays de la Loire,Le Mans,Grande Ville,Nord,Moyen,1,2025-04-08
73,11,Produit Yoga 011,Normandie,Rouen,Grande Ville,Nord,Rural,1,2025-04-24
74,12,Produit Coussins 012,Provence-Alpes-Côte d'Azur,Marseille,Métropole,Sud,Moyen,36,2025-01-28
75,12,Produit Coussins 012,Nouvelle-Aquitaine,Limoges,Grande Ville,Sud,Moyen,24,2024-11-06
76,12,Produit Coussins 012,Île-de-France,Paris,Métropole,Nord,Dense,10,2025-04-24
77,12,Produit Coussins 012,Auvergne-Rhône-Alpes,Annecy,Grande Ville,Nord,Dense,6,2024-10-16
78,12,Produit Coussins 012,Occitanie,Nîmes,Grande Ville,Sud,Moyen,4,2024-12-06
79,12,Produit Coussins 012,Hauts-de-France,Calais,Grande Ville,Nord,Dense,3,2025-04-06
80,12,Produit Coussins 012,Grand Est,Reims,Grande Ville,Nord,Moyen,3,2024-12-25
81,12,Produit Coussins 012,Pays de la Loire,Le Mans,Grande Ville,Nord,Moyen,2,2024-09-24
82,12,Produit Coussins 012,Normandie,Caen,Grande Ville,Nord,Rural,2,2024-12-21
83,13,Produit Robes 013,Île-de-France,Paris,Métropole,Nord,Dense,23,2025-03-24
84,13,Produit Robes 013,Auvergne-Rhône-Alpes,Annecy,Grande Ville,Nord,Dense,11,2025-03-13
85,13,Produit Robes 013,Provence-Alpes-Côte d'Azur,Nice,Grande Ville,Sud,Moyen,9,2024-10-30
86,13,Produit Robes 013,Nouvelle-Aquitaine,Toulouse,Grande Ville,Sud,Moyen,8,2025-02-24
87,13,Produit Robes 013,Occitanie,Perpignan,Grande Ville,Sud,Moyen,7,2024-09-06
88,13,Produit Robes 013,Hauts-de-France,Calais,Grande Ville,Nord,Dense,7,2025-08-30
89,13,Produit Robes 013,Grand Est,Metz,Grande Ville,Nord,Moyen,6,2025-06-15
90,13,Produit Robes 013,Pays de la Loire,Nantes,Grande Ville,Nord,Moyen,5,2025-05-28
91,13,Produit Robes 013,Normandie,Le Havre,Grande Ville,Nord,Rural,3,2025-05-18
92,14,Produit iPhone 014,Île-de-France,Paris,Métropole,Nord,Dense,14,2025-07-09
93,14,Produit iPhone 014,Auvergne-Rhône-Alpes,Lyon,Métropole,Nord,Dense,16,2025-01-24
94,14,Produit iPhone 014,Provence-Alpes-Côte d'Azur,Marseille,Métropole,Sud,Moyen,1,2025-03-05
95,14,Produit iPhone 014,Nouvelle-Aquitaine,Limoges,Grande Ville,Sud,Moyen,1,2024-11-27
96,14,Produit iPhone 014,Occitanie,Montpellier,Grande Ville,Sud,Moyen,1,2025-02-27
97,14,Produit iPhone 014,Hauts-de-France,Lille,Grande Ville,Nord,Dense,1,2024-12-08
98,14,Produit iPhone 014,Grand Est,Strasbourg,Grande Ville,Nord,Moyen,1,2025-06-19
99,14,Produit iPhone 014,Pays de la Loire,Le Mans,Grande Ville,Nord,Moyen,1,2025-01-15
100,14,Produit iPhone 014,Normandie,Le Havre,Grande Ville,Nord,Rural,1,2024-12-25
101,15,Produit Ustensiles 015,Île-de-France,Versailles,Grande Ville,Nord,Dense,2,2025-05-09
102,16,Produit Casques 016,Île-de-France,Paris,Métropole,Nord,Dense,35,2025-07-09
103,16,Produit Casques 016,Auvergne-Rhône-Alpes,Lyon,Métropole,Nord,Dense,25,2024-10-17
104,16,Produit Casques 016,Provence-Alpes-Côte d'Azur,Nice,Grande Ville,Sud,Moyen,2,2025-01-29
105,16,Produit Casques 016,Nouvelle-Aquitaine,Bordeaux,Grande Ville,Sud,Moyen,2,2025-04-04
106,16,Produit Casques 016,Occitanie,Perpignan,Grande Ville,Sud,Moyen,2,2025-05-09
107,16,Produit Casques 016,Hauts-de-France,Lille,Grande Ville,Nord,Dense,1,2024-10-25
108,16,Produit Casques 016,Grand Est,Metz,Grande Ville,Nord,Moyen,1,2025-02-13
109,16,Produit Casques 016,Pays de la Loire,Le Mans,Grande Ville,Nord,Moyen,1,2025-07-26
110,16,Produit Casques 016,Normandie,Rouen,Grande Ville,Nord,Rural,1,2024-12-07
111,17,Produit Ustensiles 017,Île-de-France,Versailles,Grande Ville,Nord,Dense,15,2024-12-25
112,17,Produit Ustensiles 017,Auvergne-Rhône-Alpes,Grenoble,Grande Ville,Nord,Dense,7,2025-03-06
113,17,Produit Ustensiles 017,Provence-Alpes-Côte d'Azur,Nice,Grande Ville,Sud,Moyen,5,2024-09-17
114,17,Produit Ustensiles 017,Nouvelle-Aquitaine,Bordeaux,Grande Ville,Sud,Moyen,5,2024-09-06
115,17,Produit Ustensiles 017,Occitanie,Perpignan,Grande Ville,Sud,Moyen,4,2025-03-21
116,17,Produit Ustensiles 017,Hauts-de-France,Lille,Grande Ville,Nord,Dense,4,2025-06-12
117,17,Produit Ustensiles 017,Grand Est,Metz,Grande Ville,Nord,Moyen,3,2025-05-27
118,17,Produit Ustensiles 017,Pays de la Loire,Angers,Grande Ville,Nord,Moyen,3,2024-10-14
119,17,Produit Ustensiles 017,Normandie,Le Havre,Grande Ville,Nord,Rural,2,2025-05-19
120,18,Produit Micro-ondes 018,Île-de-France,Paris,Métropole,Nord,Dense,23,2025-01-02
121,18,Produit Micro-ondes 018,Auvergne-Rhône-Alpes,Annecy,Grande Ville,Nord,Dense,11,2025-08-19
122,18,Produit Micro-ondes 018,Provence-Alpes-Côte d'Azur,Marseille,Métropole,Sud,Moyen,9,2025-02-09
123,18,Produit Micro-ondes 018,Nouvelle-Aquitaine,Bordeaux,Grande Ville,Sud,Moyen,8,2025-02-17
124,18,Produit Micro-ondes 018,Occitanie,Montpellier,Grande Ville,Sud,Moyen,7,2025-03-06
125,18,Produit Micro-ondes 018,Hauts-de-France,Amiens,Grande Ville,Nord,Dense,7,2025-02-19
126,18,Produit Micro-ondes 018,Grand Est,Metz,Grande Ville,Nord,Moyen,6,2025-04-17
127,18,Produit Micro-ondes 018,Pays de la Loire,Le Mans,Grande Ville,Nord,Moyen,5,2025-08-19
128,18,Produit Micro-ondes 018,Normandie,Le Havre,Grande Ville,Nord,Rural,3,2024-09-24
129,19,Produit Sneakers 019,Île-de-France,Versailles,Grande Ville,Nord,Dense,14,2025-07-27
130,19,Produit Sneakers 019,Auvergne-Rhône-Alpes,Grenoble,Grande Ville,Nord,Dense,7,2025-03-13
131,19,Produit Sneakers 019,Provence-Alpes-Côte d'Azur,Nice,Grande Ville,Sud,Moyen,5,2025-01-16
132,19,Produit Sneakers 019,Nouvelle-Aquitaine,Bordeaux,Grande Ville,Sud,Moyen,5,2025-08-25
133,19,Produit Sneakers 019,Occitanie,Perpignan,Grande Ville,Sud,Moyen,4,2025-01-29
134,19,Produit Sneakers 019,Hauts-de-France,Calais,Grande Ville,Nord,Dense,4,2025-05-03
135,19,Produit Sneakers 019,Grand Est,Metz,Grande Ville,Nord,Moyen,3,2025-01-02
136,19,Produit Sneakers 019,Pays de la Loire,Nantes,Grande Ville,Nord,Moyen,3,2025-01-18
137,19,Produit Sneakers 019,Normandie,Caen,Grande Ville,Nord,Rural,2,2025-07-22
138,20,Produit Coussins 020,Provence-Alpes-Côte d'Azur,Nice,Grande Ville,Sud,Moyen,4,2024-12-24
139,20,Produit Coussins 020,Nouvelle-Aquitaine,Toulouse,Grande Ville,Sud,Moyen,4,2025-03-26
140,20,Produit Coussins 020,Île-de-France,Boulogne-Billancourt,Grande Ville,Nord,Dense,2,2024-12-26
141,20,Produit Coussins 020,Auvergne-Rhône-Alpes,Annecy,Grande Ville,Nord,Dense,1,2025-08-12
142,20,Produit Coussins 020,Occitanie,Perpignan,Grande Ville,Sud,Moyen,1,2025-08-06
143,20,Produit Coussins 020,Hauts-de-France,Calais,Grande Ville,Nord,Dense,1,2025-06-28
144,20,Produit Coussins 020,Grand Est,Reims,Grande Ville,Nord,Moyen,1,2025-08-10
145,20,Produit Coussins 020,Pays de la Loire,Nantes,Grande Ville,Nord,Moyen,1,2025-07-16
146,20,Produit Coussins 020,Normandie,Le Havre,Grande Ville,Nord,Rural,1,2025-01-26
147,22,Produit Coussins 022,Provence-Alpes-Côte d'Azur,Aix-en-Provence,Grande Ville,Sud,Moyen,36,2025-04-12
148,22,Produit Coussins 022,Nouvelle-Aquitaine,Toulouse,Grande Ville,Sud,Moyen,24,2024-10-25
149,22,Produit Coussins 022,Île-de-France,Boulogne-Billancourt,Grande Ville,Nord,Dense,10,2024-11-01
150,22,Produit Coussins 022,Auvergne-Rhône-Alpes,Lyon,Métropole,Nord,Dense,6,2025-01-09
151,22,Produit Coussins 022,Occitanie,Montpellier,Grande Ville,Sud,Moyen,4,2025-01-23
152,22,Produit Coussins 022,Hauts-de-France,Lille,Grande Ville,Nord,Dense,3,2025-04-26
153,22,Produit Coussins 022,Grand Est,Metz,Grande Ville,Nord,Moyen,3,2025-04-07
154,22,Produit Coussins 022,Pays de la Loire,Angers,Grande Ville,Nord,Moyen,2,2025-08-25
155,22,Produit Coussins 022,Normandie,Le Havre,Grande Ville,Nord,Rural,2,2025-01-31
156,24,Produit Casques 024,Île-de-France,Boulogne-Billancourt,Grande Ville,Nord,Dense,33,2024-11-12
157,24,Produit Casques 024,Auvergne-Rhône-Alpes,Grenoble,Grande Ville,Nord,Dense,23,2025-08-28
158,24,Produit Casques 024,Provence-Alpes-Côte d'Azur,Aix-en-Provence,Grande Ville,Sud,Moyen,2,2024-12-26
159,24,Produit Casques 024,Nouvelle-Aquitaine,Bordeaux,Grande Ville,Sud,Moyen,2,2025-05-02
160,24,Produit Casques 024,Occitanie,Nîmes,Grande Ville,Sud,Moyen,1,2025-03-21
161,24,Produit Casques 024,Hauts-de-France,Calais,Grande Ville,Nord,Dense,1,2024-12-11
162,24,Produit Casques 024,Grand Est,Reims,Grande Ville,Nord,Moyen,1,2025-01-09
163,24,Produit Casques 024,Pays de la Loire,Angers,Grande Ville,Nord,Moyen,1,2025-02-19
164,24,Produit Casques 024,Normandie,Caen,Grande Ville,Nord,Rural,1,2024-10-19
165,28,Produit Yoga 028,Île-de-France,Versailles,Grande Ville,Nord,Dense,42,2025-04-19
166,28,Produit Yoga 028,Provence-Alpes-Côte d'Azur,Marseille,Métropole,Sud,Moyen,28,2025-02-09
167,28,Produit Yoga 028,Auvergne-Rhône-Alpes,Lyon,Métropole,Nord,Dense,4,2025-01-21
168,28,Produit Yoga 028,Nouvelle-Aquitaine,Toulouse,Grande Ville,Sud,Moyen,3,2025-08-07
169,28,Produit Yoga 028,Occitanie,Nîmes,Grande Ville,Sud,Moyen,3,2025-05-03
170,28,Produit Yoga 028,Hauts-de-France,Calais,Grande Ville,Nord,Dense,2,2024-10-12
171,28,Produit Yoga 028,Grand Est,Metz,Grande Ville,Nord,Moyen,2,2025-01-03
172,28,Produit Yoga 028,Pays de la Loire,Le Mans,Grande Ville,Nord,Moyen,2,2025-02-08
173,28,Produit Yoga 028,Normandie,Le Havre,Grande Ville,Nord,Rural,1,2025-02-27
174,30,Produit Sacs 030,Île-de-France,Paris,Métropole,Nord,Dense,12,2025-08-24
175,30,Produit Sacs 030,Auvergne-Rhône-Alpes,Grenoble,Grande Ville,Nord,Dense,5,2025-02-16
176,30,Produit Sacs 030,Provence-Alpes-Côte d'Azur,Marseille,Métropole,Sud,Moyen,4,2024-10-31
177,30,Produit Sacs 030,Nouvelle-Aquitaine,Toulouse,Grande Ville,Sud,Moyen,3,2025-04-20
178,30,Produit Sacs 030,Occitanie,Perpignan,Grande Ville,Sud,Moyen,3,2024-10-05
179,30,Produit Sacs 030,Hauts-de-France,Lille,Grande Ville,Nord,Dense,3,2025-07-01
180,30,Produit Sacs 030,Grand Est,Reims,Grande Ville,Nord,Moyen,2,2025-01-15
181,30,Produit Sacs 030,Pays de la Loire,Nantes,Grande Ville,Nord,Moyen,2,2025-03-27
182,30,Produit Sacs 030,Normandie,Rouen,Grande Ville,Nord,Rural,1,2025-07-19
183,31,Produit Laptops 031,Île-de-France,Paris,Métropole,Nord,Dense,4,2025-04-04
184,31,Produit Laptops 031,Auvergne-Rhône-Alpes,Grenoble,Grande Ville,Nord,Dense,7,2025-01-19
185,31,Produit Laptops 031,Provence-Alpes-Côte d'Azur,Aix-en-Provence,Grande Ville,Sud,Moyen,1,2024-10-14
186,31,Produit Laptops 031,Nouvelle-Aquitaine,Limoges,Grande Ville,Sud,Moyen,1,2025-01-16
187,31,Produit Laptops 031,Occitanie,Montpellier,Grande Ville,Sud,Moyen,1,2024-10-05
188,31,Produit Laptops 031,Hauts-de-France,Calais,Grande Ville,Nord,Dense,1,2025-02-14
189,31,Produit Laptops 031,Grand Est,Reims,Grande Ville,Nord,Moyen,1,2024-11-02
190,31,Produit Laptops 031,Pays de la Loire,Angers,Grande Ville,Nord,Moyen,1,2025-01-04
191,31,Produit Laptops 031,Normandie,Rouen,Grande Ville,Nord,Rural,1,2025-07-12
192,32,Produit Robes 032,Île-de-France,Versailles,Grande Ville,Nord,Dense,9,2025-01-08
193,32,Produit Robes 032,Auvergne-Rhône-Alpes,Lyon,Métropole,Nord,Dense,3,2025-02-07
194,32,Produit Robes 032,Provence-Alpes-Côte d'Azur,Nice,Grande Ville,Sud,Moyen,2,2025-01-01
195,32,Produit Robes 032,Nouvelle-Aquitaine,Toulouse,Grande Ville,Sud,Moyen,2,2024-11-11
196,32,Produit Robes 032,Occitanie,Montpellier,Grande Ville,Sud,Moyen,2,2025-06-06
197,32,Produit Robes 032,Hauts-de-France,Lille,Grande Ville,Nord,Dense,1,2025-07-11
198,32,Produit Robes 032,Grand Est,Strasbourg,Grande Ville,Nord,Moyen,1,2025-07-25
199,32,Produit Robes 032,Pays de la Loire,Angers,Grande Ville,Nord,Moyen,1,2024-11-09
200,32,Produit Robes 032,Normandie,Rouen,Grande Ville,Nord,Rural,1,2025-08-23
201,33,Produit Casques 033,Île-de-France,Paris,Métropole,Nord,Dense,29,2025-06-05
202,33,Produit Casques 033,Auvergne-Rhône-Alpes,Lyon,Métropole,Nord,Dense,20,2025-05-12
203,33,Produit Casques 033,Provence-Alpes-Côte d'Azur,Nice,Grande Ville,Sud,Moyen,2,2025-01-22
204,33,Produit Casques 033,Nouvelle-Aquitaine,Toulouse,Grande Ville,Sud,Moyen,1,2025-05-19
205,33,Produit Casques 033,Occitanie,Montpellier,Grande Ville,Sud,Moyen,1,2025-03-15
206,33,Produit Casques 033,Hauts-de-France,Calais,Grande Ville,Nord,Dense,1,2025-06-07
207,33,Produit Casques 033,Grand Est,Strasbourg,Grande Ville,Nord,Moyen,1,2024-12-02
208,33,Produit Casques 033,Pays de la Loire,Angers,Grande Ville,Nord,Moyen,1,2025-05-28
209,33,Produit Casques 033,Normandie,Le Havre,Grande Ville,Nord,Rural,1,2024-09-17
210,36,Produit Randonnée 036,Auvergne-Rhône-Alpes,Lyon,Métropole,Nord,Dense,7,2025-07-03
211,36,Produit Randonnée 036,Nouvelle-Aquitaine,Limoges,Grande Ville,Sud,Moyen,7,2024-10-07
212,36,Produit Randonnée 036,Île-de-France,Paris,Métropole,Nord,Dense,2,2025-05-31
213,36,Produit Randonnée 036,Provence-Alpes-Côte d'Azur,Marseille,Métropole,Sud,Moyen,1,2025-05-03
214,36,Produit Randonnée 036,Occitanie,Montpellier,Grande Ville,Sud,Moyen,1,2025-05-09
215,36,Produit Randonnée 036,Hauts-de-France,Lille,Grande Ville,Nord,Dense,1,2024-11-16
216,36,Produit Randonnée 036,Grand Est,Metz,Grande Ville,Nord,Moyen,1,2024-10-12
217,36,Produit Randonnée 036,Pays de la Loire,Nantes,Grande Ville,Nord,Moyen,1,2025-04-07
218,36,Produit Randonnée 036,Normandie,Le Havre,Grande Ville,Nord,Rural,1,2025-03-13
219,39,Produit Cables 039,Île-de-France,Boulogne-Billancourt,Grande Ville,Nord,Dense,15,2025-03-18
220,39,Produit Cables 039,Auvergne-Rhône-Alpes,Annecy,Grande Ville,Nord,Dense,7,2025-03-18
221,39,Produit Cables 039,Provence-Alpes-Côte d'Azur,Nice,Grande Ville,Sud,Moyen,6,2025-09-02
222,39,Produit Cables 039,Nouvelle-Aquitaine,Limoges,Grande Ville,Sud,Moyen,5,2025-05-22
223,39,Produit Cables 039,Occitanie,Perpignan,Grande Ville,Sud,Moyen,5,2025-07-20
224,39,Produit Cables 039,Hauts-de-France,Amiens,Grande Ville,Nord,Dense,4,2025-03-06
225,39,Produit Cables 039,Grand Est,Strasbourg,Grande Ville,Nord,Moyen,4,2025-01-19
226,39,Produit Cables 039,Pays de la Loire,Le Mans,Grande Ville,Nord,Moyen,3,2025-04-04
227,39,Produit Cables 039,Normandie,Rouen,Grande Ville,Nord,Rural,2,2025-06-17
228,40,Produit Robes 040,Île-de-France,Versailles,Grande Ville,Nord,Dense,23,2024-12-27
229,40,Produit Robes 040,Auvergne-Rhône-Alpes,Lyon,Métropole,Nord,Dense,12,2025-05-18
230,40,Produit Robes 040,Provence-Alpes-Côte d'Azur,Aix-en-Provence,Grande Ville,Sud,Moyen,9,2024-09-18
231,40,Produit Robes 040,Nouvelle-Aquitaine,Bordeaux,Grande Ville,Sud,Moyen,9,2025-05-16
232,40,Produit Robes 040,Occitanie,Montpellier,Grande Ville,Sud,Moyen,8,2025-08-06
233,40,Produit Robes 040,Hauts-de-France,Lille,Grande Ville,Nord,Dense,7,2025-03-11
234,40,Produit Robes 040,Grand Est,Metz,Grande Ville,Nord,Moyen,6,2024-11-20
235,40,Produit Robes 040,Pays de la Loire,Nantes,Grande Ville,Nord,Moyen,5,2025-08-07
236,40,Produit Robes 040,Normandie,Le Havre,Grande Ville,Nord,Rural,4,2025-01-01
237,42,Produit Football 042,Île-de-France,Boulogne-Billancourt,Grande Ville,Nord,Dense,17,2025-05-20
238,42,Produit Football 042,Auvergne-Rhône-Alpes,Annecy,Grande Ville,Nord,Dense,9,2025-01-06
239,42,Produit Football 042,Provence-Alpes-Côte d'Azur,Aix-en-Provence,Grande Ville,Sud,Moyen,7,2025-01-16
240,42,Produit Football 042,Nouvelle-Aquitaine,Toulouse,Grande Ville,Sud,Moyen,6,2024-12-25
241,42,Produit Football 042,Occitanie,Nîmes,Grande Ville,Sud,Moyen,6,2025-08-01
242,42,Produit Football 042,Hauts-de-France,Lille,Grande Ville,Nord,Dense,5,2025-01-08
243,42,Produit Football 042,Grand Est,Metz,Grande Ville,Nord,Moyen,4,2025-04-23
244,42,Produit Football 042,Pays de la Loire,Le Mans,Grande Ville,Nord,Moyen,4,2024-10-19
245,42,Produit Football 042,Normandie,Caen,Grande Ville,Nord,Rural,3,2025-03-21
246,44,Produit Randonnée 044,Auvergne-Rhône-Alpes,Annecy,Grande Ville,Nord,Dense,30,2025-02-07
247,44,Produit Randonnée 044,Nouvelle-Aquitaine,Bordeaux,Grande Ville,Sud,Moyen,23,2024-09-17
248,44,Produit Randonnée 044,Île-de-France,Versailles,Grande Ville,Nord,Dense,4,2024-10-14
249,44,Produit Randonnée 044,Provence-Alpes-Côte d'Azur,Aix-en-Provence,Grande Ville,Sud,Moyen,2,2025-07-13
250,44,Produit Randonnée 044,Occitanie,Perpignan,Grande Ville,Sud,Moyen,1,2025-04-21
251,44,Produit Randonnée 044,Hauts-de-France,Calais,Grande Ville,Nord,Dense,1,2024-09-20
252,44,Produit Randonnée 044,Grand Est,Reims,Grande Ville,Nord,Moyen,1,2025-01-22
253,44,Produit Randonnée 044,Pays de la Loire,Le Mans,Grande Ville,Nord,Moyen,1,2025-01-23
254,44,Produit Randonnée 044,Normandie,Caen,Grande Ville,Nord,Rural,1,2024-09-22
255,46,Produit Sacs 046,Île-de-France,Boulogne-Billancourt,Grande Ville,Nord,Dense,24,2025-08-08
256,46,Produit Sacs 046,Auvergne-Rhône-Alpes,Grenoble,Grande Ville,Nord,Dense,12,2024-09-09
257,46,Produit Sacs 046,Provence-Alpes-Côte d'Azur,Marseille,Métropole,Sud,Moyen,10,2025-07-29
258,46,Produit Sacs 046,Nouvelle-Aquitaine,Bordeaux,Grande Ville,Sud,Moyen,9,2025-05-17
259,46,Produit Sacs 046,Occitanie,Montpellier,Grande Ville,Sud,Moyen,8,2025-06-23
