products_id,pdt_name,categories_id,products_status,promo_id,category_1,category_2,category_3,ps_cat,pd_cat,pdt_id_x,qty,pdt_id_y,stock,pdt_segment,chiffre_affaires,marge_brute,taux_remise,statut_stock,performance
25,Produit T-shirts 025,5,inactive,4.0,Mode,Vêtements Homme,T-shirts,151.51,130.73,,0.0,25,261,Économique,0.0,0.0,13.72,Élevé,Aucune
26,Produit Cables 026,4,inactive,4.0,Électronique,Accessoires,Cables,856.17,758.35,,0.0,26,412,Standard,0.0,0.0,11.43,Élevé,Aucune
27,Produit Robes 027,6,inactive,3.0,Mode,Vêtements Femme,Robes,100.94,93.92,,0.0,27,26,Premium,0.0,0.0,6.95,Normal,Aucune
28,Produit Yoga 028,12,active,3.0,Sport,Fitness,Yoga,36.73,33.62,28.0,87.0,28,166,Économique,3195.5099999999998,270.56999999999994,8.47,Élevé,Top
29,Produit Robes 029,6,inactive,3.0,Mode,Vêtements Femme,Robes,45.3,42.85,,0.0,29,430,Standard,0.0,0.0,5.41,Élevé,Aucune
30,Produit Sacs 030,8,active,4.0,Mode,Accessoires Mode,Sacs,197.79,177.14,30.0,35.0,30,199,Économique,6922.65,722.7500000000002,10.44,Élevé,Bon
31,Produit Laptops 031,2,active,3.0,Électronique,Ordinateurs,Laptops,441.21,393.48,31.0,18.0,31,278,Premium,7941.78,859.1399999999993,10.82,Élevé,Moyen
32,Produit Robes 032,6,active,,Mode,Vêtements Femme,Robes,188.88,165.99,32.0,22.0,32,491,Standard,4155.36,503.5799999999997,12.12,Élevé,Bon
33,Produit Casques 033,3,active,2.0,Électronique,Audio,Casques,887.36,762.9,33.0,57.0,33,223,Économique,50579.520000000004,7094.220000000002,14.03,Élevé,Top
34,Produit Ustensiles 034,9,inactive,2.0,Maison,Cuisine,Ustensiles,234.96,209.36,,0.0,34,166,Premium,0.0,0.0,10.9,Élevé,Aucune
35,Produit Micro-ondes 035,11,inactive,3.0,Maison,Électroménager,Micro-ondes,36.41,32.08,,0.0,35,196,Standard,0.0,0.0,11.89,Élevé,Aucune
36,Produit Randonnée 036,13,active,3.0,Sport,Outdoor,Randonnée,141.89,126.78,36.0,22.0,36,261,Standard,3121.58,332.4199999999997,10.65,Élevé,Bon
37,Produit Micro-ondes 037,11,inactive,2.0,Maison,Électroménager,Micro-ondes,386.04,342.02,,0.0,37,247,Premium,0.0,0.0,11.4,Élevé,Aucune
38,Produit Sneakers 038,7,inactive,1.0,Mode,Chaussures,Sneakers,35.21,33.74,,0.0,38,9,Premium,0.0,0.0,4.17,Faible,Aucune
39,Produit Cables 039,4,active,4.0,Électronique,Accessoires,Cables,771.07,748.11,39.0,51.0,39,291,Standard,39324.57,1170.9600000000019,2.98,Élevé,Top
40,Produit Robes 040,6,active,1.0,Mode,Vêtements Femme,Robes,87.79,75.19,40.0,83.0,40,174,Standard,7286.570000000001,1045.8000000000006,14.35,Élevé,Top
41,Produit Laptops 041,2,inactive,4.0,Électronique,Ordinateurs,Laptops,972.7,817.37,,0.0,41,455,Standard,0.0,0.0,15.97,Élevé,Aucune
42,Produit Football 042,14,active,2.0,Sport,Sports Collectifs,Football,244.89,229.6,42.0,61.0,42,135,Standard,14938.289999999999,932.6899999999995,6.24,Élevé,Top
43,Produit Cables 043,4,inactive,3.0,Électronique,Accessoires,Cables,351.72,316.42,,0.0,43,445,Premium,0.0,0.0,10.04,Élevé,Aucune
44,Produit Randonnée 044,13,active,2.0,Sport,Outdoor,Randonnée,70.2,58.39,44.0,64.0,44,243,Standard,4492.8,755.8400000000001,16.82,Élevé,Top
45,Produit Ustensiles 045,9,inactive,4.0,Maison,Cuisine,Ustensiles,334.39,312.87,,0.0,45,233,Standard,0.0,0.0,6.44,Élevé,Aucune
46,Produit Sacs 046,8,active,,Mode,Accessoires Mode,Sacs,246.05,242.75,46.0,85.0,46,465,Économique,20914.25,280.50000000000097,1.34,Élevé,Top
47,Produit Micro-ondes 047,11,active,4.0,Maison,Électroménager,Micro-ondes,292.22,270.85,47.0,9.0,47,352,Standard,2629.9800000000005,192.33000000000004,7.31,Élevé,Moyen
48,Produit Ustensiles 048,9,active,3.0,Maison,Cuisine,Ustensiles,317.29,297.65,48.0,21.0,48,33,Premium,6663.09,412.4400000000009,6.19,Normal,Bon
49,Produit Cables 049,4,active,2.0,Électronique,Accessoires,Cables,75.51,61.83,49.0,51.0,49,232,Standard,3851.01,697.6800000000003,18.12,Élevé,Top
50,Produit Micro-ondes 050,11,active,2.0,Maison,Électroménager,Micro-ondes,110.31,103.81,50.0,11.0,50,480,Économique,1213.41,71.5,5.89,Élevé,Moyen
