date,total_sales,revenue,orders,unique_customers
2023-04-04,1209,75716.62491157852,996,745
2023-04-05,1114,83452.58249754358,913,772
2023-04-06,1128,69499.53652999122,848,804
2023-04-07,1005,71893.63113907575,840,734
2023-04-08,1077,64629.32844950984,798,664
2023-04-09,1178,57797.72480457665,856,892
2023-04-10,1031,26392.37347490991,860,803
2023-04-11,1125,40230.26083927185,926,745
2023-04-12,1060,33195.68765673947,779,673
2023-04-13,1096,73473.3075879276,901,686
2023-04-14,1096,64233.34168109864,953,836
2023-04-15,1269,57472.36729875131,1008,979
2023-04-16,1342,94151.76436822637,1089,970
2023-04-17,1065,50553.681644633005,889,656
2023-04-18,1005,52973.14549367693,865,606
2023-04-19,884,56232.67343678075,691,596
2023-04-20,1105,73970.03390662027,809,667
2023-04-21,1071,48418.711769651214,958,849
2023-04-22,1122,55834.38575329566,934,685
2023-04-23,1201,54177.68320256171,848,955
2023-04-24,994,67400.21773942691,864,678
2023-04-25,1113,63146.84037655222,876,672
2023-04-26,1231,73086.26177219769,864,842
2023-04-27,1059,39572.629627626244,863,782
2023-04-28,876,45629.820100452635,635,540
2023-04-29,1212,43871.85321378496,929,828
2023-04-30,1241,51306.18087361666,1108,908
2023-05-01,1176,36394.36755617787,884,802
2023-05-02,1125,28688.431938979807,1004,752
2023-05-03,1170,64147.99130662251,988,728
2023-05-04,953,68843.8223283809,697,613
2023-05-05,984,45040.45879409776,811,759
2023-05-06,1323,56607.22223278607,1106,1043
2023-05-07,1221,89965.3341357443,921,802
2023-05-08,1012,48722.98998230564,818,693
2023-05-09,1012,75879.14453575671,742,679
2023-05-10,1057,51004.31748750708,780,821
2023-05-11,1023,43567.24661699083,766,748
2023-05-12,1123,30286.66701372391,789,879
2023-05-13,1327,67614.35944909435,1146,918
2023-05-14,1285,48418.35258786882,902,810
2023-05-15,1118,40216.57724858086,957,851
2023-05-16,1194,58618.68394460785,959,826
2023-05-17,805,26733.260016577213,666,637
2023-05-18,1071,73586.06376082532,907,722
2023-05-19,1042,76832.98243796077,761,656
2023-05-20,1377,49495.41700306267,1031,1014
2023-05-21,1086,58545.0855172762,870,700
2023-05-22,1051,72702.39961462178,932,723
2023-05-23,1037,63948.27953373553,763,661
2023-05-24,1062,29720.22669615044,763,653
2023-05-25,934,28792.975855397417,663,618
2023-05-26,1168,44477.524392417276,947,799
2023-05-27,1279,70365.46855081593,1128,991
2023-05-28,1114,29292.155339701876,931,761
2023-05-29,1217,49109.680831644924,872,772
2023-05-30,989,65292.592418483044,758,620
2023-05-31,1058,45119.62162675298,870,788
2023-06-01,1233,70664.45750813521,964,841
2023-06-02,1305,83803.53282311244,1053,1002
2023-06-03,1518,49094.898208995226,1360,974
2023-06-04,1455,87564.22903372152,1239,1038
2023-06-05,1100,36902.45404322367,903,664
2023-06-06,1257,93493.92413506118,1103,826
2023-06-07,1198,43149.785792410556,1061,845
2023-06-08,1240,48059.139254384514,1080,973
2023-06-09,1289,38791.45117057652,1154,882
2023-06-10,1449,51259.32169115199,1228,1126
2023-06-11,1301,47399.80703947311,977,812
2023-06-12,1159,58735.694378500026,1000,710
2023-06-13,1171,86158.1781730994,1053,889
2023-06-14,1156,56981.390179794565,957,820
2023-06-15,1313,35633.79570495445,1130,837
2023-06-16,1327,58393.504338852974,1109,817
2023-06-17,1452,98318.80240871753,1077,1153
2023-06-18,1467,71192.47316499623,1103,900
2023-06-19,1044,61086.70808971499,905,759
2023-06-20,1026,70472.16677812084,849,806
2023-06-21,1167,54815.92384499636,1027,831
2023-06-22,1416,41868.864150958325,1116,1023
2023-06-23,1123,55881.154518931144,810,696
2023-06-24,1453,49757.57651309731,1282,895
2023-06-25,1615,96050.504269157,1311,1283
2023-06-26,1183,31330.21334873909,1052,802
2023-06-27,1162,71601.745100071,1010,735
2023-06-28,1245,36507.21531561599,1071,898
2023-06-29,1245,51761.27038268068,1078,925
2023-06-30,1033,40082.81749992839,733,670
2023-07-01,1391,46819.51613018015,1048,928
2023-07-02,1498,82468.26773963457,1211,1179
2023-07-03,1004,68947.98668237159,903,765
2023-07-04,1314,78278.3116691357,935,989
2023-07-05,1099,40015.47390209162,782,763
2023-07-06,1066,52587.226337956,786,768
2023-07-07,1245,54288.41055608513,913,796
2023-07-08,1525,98813.34143226262,1347,1135
2023-07-09,1205,41565.91429065143,849,809
2023-07-10,1264,68955.46216487855,965,885
2023-07-11,1011,32956.17562548703,764,686
2023-07-12,1303,58959.78054357751,1023,990
2023-07-13,1234,40300.058711757854,1014,963
2023-07-14,1406,80807.7630835598,1029,1018
2023-07-15,3414,146163.72240544064,2446,2345
2023-07-16,3469,112101.58139649041,2969,2587
2023-07-17,1051,47512.98161216475,773,777
2023-07-18,1258,74704.4163825276,919,815
2023-07-19,1336,44670.83805078368,996,901
2023-07-20,1031,38012.34842508091,856,768
2023-07-21,1295,84491.27512998522,1144,886
2023-07-22,1257,40192.96085746399,1073,844
2023-07-23,1580,114929.481127402,1363,1115
2023-07-24,1252,44315.34581194004,1074,751
2023-07-25,1312,53065.814436242596,1149,892
2023-07-26,1150,61113.66271498055,911,702
2023-07-27,1216,82517.04337168354,1065,896
2023-07-28,1219,66920.07587926295,968,898
2023-07-29,1592,107165.25930387477,1153,1244
2023-07-30,1679,55647.531160650884,1369,1292
2023-07-31,1152,80084.40480321104,899,897
2023-08-01,1264,43059.47195121165,1016,972
2023-08-02,1374,77518.76500861337,1142,1057
2023-08-03,1532,87281.32426529595,1375,980
2023-08-04,1482,66224.74466045348,1046,1176
2023-08-05,1869,48879.6870433136,1443,1138
2023-08-06,1649,66348.53459112518,1291,1023
2023-08-07,1512,39148.9985574924,1240,1137
2023-08-08,1588,79406.21728323975,1190,1122
2023-08-09,1415,52989.354609228176,1184,886
2023-08-10,1388,37403.61377615179,1073,962
2023-08-11,1460,61349.329759302345,1211,899
2023-08-12,1540,95049.9122208581,1318,1205
2023-08-13,2045,135073.9666519625,1812,1229
2023-08-14,1323,97526.75936795863,1076,1041
2023-08-15,1404,61995.13455859801,1250,1103
2023-08-16,1497,81617.08057270975,1299,943
2023-08-17,1504,45546.54403718684,1150,912
2023-08-18,1753,121959.39183280246,1324,1277
2023-08-19,1473,107121.4584849429,1248,1052
2023-08-20,1595,84385.60872563004,1212,1244
2023-08-21,1149,75247.26257695886,909,767
2023-08-22,1454,51825.41260898287,1231,905
2023-08-23,1437,64937.71145238001,1204,938
2023-08-24,1642,121192.98415490768,1314,1163
2023-08-25,1594,72705.15050587077,1193,1083
2023-08-26,1481,77851.41837593951,1330,954
2023-08-27,1967,126007.21096482364,1766,1335
2023-08-28,1307,68888.90712591218,961,805
2023-08-29,1359,92265.80279103068,1185,1075
2023-08-30,1302,80395.75564966872,925,1016
2023-08-31,1488,83290.88981194253,1232,1105
2023-09-01,1153,40667.03011072529,929,712
2023-09-02,1320,95483.5969249901,1013,1034
2023-09-03,1507,53314.94326369711,1093,1076
2023-09-04,1117,79200.27165317167,886,701
2023-09-05,1129,66107.0291331708,869,860
2023-09-06,1007,35964.14743194187,777,663
2023-09-07,1267,60066.1067599454,1025,949
2023-09-08,1018,42282.714368769,914,753
2023-09-09,1296,41644.93332483657,930,791
2023-09-10,1369,61733.67971079788,1043,1025
2023-09-11,1207,87180.91455677555,1008,956
2023-09-12,1083,76440.37962950116,864,860
2023-09-13,1031,38315.11344120608,893,797
2023-09-14,1170,48646.586435603924,830,890
2023-09-15,1273,34858.676625939785,915,957
2023-09-16,1583,55623.56815308088,1128,972
2023-09-17,1392,69612.3101617416,1030,1095
2023-09-18,967,41637.52365167397,764,656
2023-09-19,1141,30457.8005498264,926,693
2023-09-20,1045,57210.89288135623,775,752
2023-09-21,1271,61660.05665261478,938,875
2023-09-22,970,65621.77253085694,770,609
2023-09-23,1389,58949.02163250878,1053,898
2023-09-24,1130,77506.54980608121,946,681
2023-09-25,1135,82139.04806089959,964,704
2023-09-26,1227,54845.687800789325,955,940
2023-09-27,978,65519.65775880973,767,708
2023-09-28,1182,48813.6500621892,857,775
2023-09-29,869,36032.95071569668,671,553
2023-09-30,1494,50257.44517563104,1145,1157
2023-10-01,1515,79672.28892935473,1139,933
2023-10-02,1260,66447.71596098143,983,973
2023-10-03,1191,32144.5163900177,1026,872
2023-10-04,1138,69364.20692140935,939,840
2023-10-05,1000,31972.833525834532,837,699
2023-10-06,1050,38392.110170504435,781,672
2023-10-07,1258,34792.85574819911,1095,788
2023-10-08,1543,93598.48124988971,1286,1166
2023-10-09,1209,74863.07675062666,869,942
2023-10-10,1143,56980.499517118486,888,906
2023-10-11,1279,79365.59412389853,1138,851
2023-10-12,1200,57157.67626955545,896,906
2023-10-13,1025,74334.0119995939,814,818
2023-10-14,1497,43338.14247954905,1316,1123
2023-10-15,1549,87805.47471062338,1229,1168
2023-10-16,1174,48477.539494425604,911,884
2023-10-17,1135,45513.96324657031,898,737
2023-10-18,1075,46080.235244809155,924,786
2023-10-19,1041,66136.9619193874,828,744
2023-10-20,1269,62412.05907901551,944,874
2023-10-21,1319,80107.76491131901,933,840
2023-10-22,1560,70383.5684994302,1397,1055
2023-10-23,1242,83617.70141005296,1023,926
2023-10-24,1044,66975.40402004577,785,715
2023-10-25,1095,45555.31623300085,830,690
2023-10-26,1097,54198.20228611389,777,864
2023-10-27,1075,52426.56916256391,856,829
2023-10-28,1262,37206.63592059387,963,802
2023-10-29,1031,74219.14836342169,846,658
2023-10-30,1124,34430.76793713047,979,698
2023-10-31,1091,74247.97336722056,860,676
2023-11-01,1194,74332.83221503429,987,934
2023-11-02,1198,34202.95997722669,921,875
2023-11-03,1123,73859.77922969744,962,691
2023-11-04,1112,35152.45119141581,972,795
2023-11-05,1288,35223.85133146488,976,955
2023-11-06,1236,39896.13916546042,965,969
2023-11-07,1066,62134.14409299836,862,760
2023-11-08,1130,80214.51538774118,850,868
2023-11-09,1159,60756.99234029456,890,732
2023-11-10,1221,81715.4927170928,922,822
2023-11-11,1335,75451.62394141704,1053,1067
2023-11-12,1142,57144.287887512,875,900
2023-11-13,1150,76098.60621803191,994,848
2023-11-14,1135,39411.307756771435,803,901
2023-11-15,1136,50062.59863111716,931,843
2023-11-16,1192,41192.31535822899,1056,860
2023-11-17,1035,55415.04541492727,761,770
2023-11-18,1482,88071.05261008548,1121,1001
2023-11-19,1435,87041.77269088115,1085,987
2023-11-20,1088,42853.04662129172,866,673
2023-11-21,981,60445.59903215829,853,681
2023-11-22,1183,42654.04508313319,971,871
2023-11-23,1302,66003.04397050106,1072,1005
2023-11-24,3872,266459.298344943,3058,2579
2023-11-25,3963,259965.6074869733,3031,2697
2023-11-26,4146,208139.98552886702,3126,3239
2023-11-27,3100,115895.82296724503,2774,2276
2023-11-28,1167,50392.396875806175,939,865
2023-11-29,1181,80723.65258577181,948,763
2023-11-30,1312,59025.15496742288,937,892
2023-12-01,2560,97015.4332351096,2089,1723
2023-12-02,2213,94675.58633007872,1659,1622
2023-12-03,2280,73175.83745566642,2016,1424
2023-12-04,2532,70785.21938801852,1825,1888
2023-12-05,2232,76035.34608426427,1968,1496
2023-12-06,2333,144697.36914160362,1709,1573
2023-12-07,2491,75764.55406959035,2091,1619
2023-12-08,2540,175893.84873306743,2207,1688
2023-12-09,2524,98609.32389644334,2092,1521
2023-12-10,3005,129254.29577208454,2596,1844
2023-12-11,1991,92892.00660955512,1656,1199
2023-12-12,2238,77760.94891941553,1596,1392
2023-12-13,2462,140096.22796114194,1818,1477
2023-12-14,2679,94377.64250065853,2023,1937
2023-12-15,2462,162105.9289662505,2097,1525
2023-12-16,2384,120480.2159636247,1678,1749
2023-12-17,2679,151649.05034053864,2042,1788
2023-12-18,2362,74895.70798315755,2114,1870
2023-12-19,2302,90561.14876767542,1729,1643
2023-12-20,2199,77604.73234102144,1608,1666
2023-12-21,2305,137232.57539132662,1754,1683
2023-12-22,2290,162224.43559986906,1999,1569
2023-12-23,3060,218479.8936345034,2661,2123
2023-12-24,2729,204273.32487054224,2119,1996
2023-12-25,1050,30862.781913574312,811,723
2023-12-26,1383,87248.06540523969,1042,1032
2023-12-27,1233,67658.2181536296,1067,976
2023-12-28,1364,90958.47361537805,1132,946
2023-12-29,1173,82573.0670206534,866,815
2023-12-30,1529,40352.22070143195,1248,927
2023-12-31,1511,93294.36721779105,1200,1108
2024-01-01,1031,42487.407086520434,782,705
2024-01-02,1005,25574.930847614152,821,713
2024-01-03,1171,72512.45306969737,857,705
2024-01-04,1143,66927.54550334519,854,887
2024-01-05,1029,57057.15398379269,828,631
2024-01-06,1595,56529.81658105577,1309,1200
2024-01-07,1285,58531.277827751015,1153,982
2024-01-08,1344,86498.73691305144,1176,883
2024-01-09,1325,43638.146065523724,948,1011
2024-01-10,912,29969.436701600425,724,669
2024-01-11,1201,89025.15480458997,1067,730
2024-01-12,1300,44855.895603638215,972,804
2024-01-13,1496,67042.76495565134,1235,1109
2024-01-14,1666,63664.231908505484,1454,1023
2024-01-15,1083,71839.57342905938,813,762
2024-01-16,1104,32808.83987382932,866,706
2024-01-17,1284,49567.23696462757,1016,912
2024-01-18,1019,35202.48413363722,797,690
2024-01-19,1283,35742.71389379327,1121,896
2024-01-20,1464,80691.78880086786,1167,907
2024-01-21,1592,89035.91207675415,1343,1048
2024-01-22,1308,62340.397270912006,1109,877
2024-01-23,1009,66094.84039563476,725,791
2024-01-24,1014,52624.84612967072,886,616
2024-01-25,1082,63495.167699192236,799,669
2024-01-26,1361,79795.56058730301,1123,839
2024-01-27,1496,112106.26791718796,1203,993
2024-01-28,1454,102007.49081253826,1132,1007
2024-01-29,1375,75213.67331853115,1062,1007
2024-01-30,1131,84795.54685242688,898,773
2024-01-31,1329,82597.20913030562,1035,923
2024-02-01,1338,60843.751589428466,1080,805
2024-02-02,1236,55920.55601630019,923,847
2024-02-03,1653,61126.191091265835,1218,1167
2024-02-04,1431,70037.96592000936,1124,985
2024-02-05,1101,47488.50555662408,864,681
2024-02-06,1339,34671.00008241168,940,1063
2024-02-07,1515,80505.04830591062,1080,1075
2024-02-08,1173,84107.08356319442,890,732
2024-02-09,1286,48942.46874523056,1009,1024
2024-02-10,1520,77542.59412137957,1215,1102
2024-02-11,1412,91351.37767460659,1194,1045
2024-02-12,1151,58746.177493845884,848,826
2024-02-13,1306,94898.66216305779,1061,1011
2024-02-14,1279,67105.75583680357,1101,798
2024-02-15,1283,86950.5871377756,984,849
2024-02-16,1214,30535.384740425394,902,744
2024-02-17,1503,58375.64876309391,1205,979
2024-02-18,1355,65744.18911559205,1167,819
2024-02-19,1472,46986.731378836506,1218,1063
2024-02-20,1374,99324.84180457161,1156,1053
2024-02-21,1092,34306.89231553543,948,777
2024-02-22,1125,67694.63641070828,944,752
2024-02-23,913,54486.815528942054,683,649
2024-02-24,1389,90106.9650245907,987,933
2024-02-25,1409,44532.0682666908,994,900
2024-02-26,1209,36553.61827213466,899,956
2024-02-27,1264,33999.1364924104,931,850
2024-02-28,1033,42259.605588451115,791,641
2024-02-29,1292,70032.32843819828,1119,868
2024-03-01,1107,79733.59647212956,814,804
2024-03-02,1378,60755.99654158621,1217,895
2024-03-03,1351,96876.16809370724,1011,911
2024-03-04,1248,36700.70544525399,1040,814
2024-03-05,1127,83064.47427225907,958,802
2024-03-06,1158,53584.39059907283,861,893
2024-03-07,1327,70197.47193867198,954,1014
2024-03-08,1061,69782.13221464431,843,815
2024-03-09,1378,74896.09858154682,1206,940
2024-03-10,1176,32557.537253918734,931,891
2024-03-11,1412,95819.82173664117,1012,1104
2024-03-12,1260,34978.069205459185,953,862
2024-03-13,1295,70525.82548301617,1003,857
2024-03-14,1241,31198.95011390457,941,964
2024-03-15,1131,75429.47303190356,865,865
2024-03-16,1430,49322.2262003995,1091,1011
2024-03-17,1652,67908.7238789876,1369,1211
2024-03-18,1332,75908.38879042346,1015,999
2024-03-19,1234,45092.629426582695,990,757
2024-03-20,1026,28310.84604260779,765,812
2024-03-21,911,65496.47168268804,647,551
2024-03-22,1315,49721.78469332067,1016,1027
2024-03-23,1384,93150.65506353864,1065,872
2024-03-24,1293,69514.8238366375,1095,939
2024-03-25,1431,96266.59961885837,1041,1035
2024-03-26,1091,28787.452523457832,852,714
2024-03-27,1250,89093.90959393313,1048,777
2024-03-28,946,28546.46264525365,694,672
2024-03-29,1192,39277.15427644469,1052,783
2024-03-30,1693,72141.67469648042,1410,1197
2024-03-31,1565,100183.88217263743,1364,1077
2024-04-01,1378,83768.17710573622,1098,889
2024-04-02,1109,49469.742591938244,962,720
2024-04-03,1336,37633.9137238347,1000,841
2024-04-04,1325,56215.11753373363,1027,1002
2024-04-05,1192,37056.88922259546,1068,831
2024-04-06,1524,51546.642762088515,1312,1066
2024-04-07,1248,69880.45707406645,881,811
2024-04-08,1180,40380.17623911397,985,873
2024-04-09,1002,74662.33655675406,757,641
2024-04-10,1270,80212.83074990091,1115,934
2024-04-11,1496,52554.22006336211,1255,948
2024-04-12,1125,80154.7899358885,913,676
2024-04-13,1479,55007.49761278081,1252,936
2024-04-14,1490,38506.25741318476,1130,980
2024-04-15,1185,85041.43971471157,1052,741
2024-04-16,1316,72051.89412847826,1054,921
2024-04-17,1248,88206.75417143828,1093,977
2024-04-18,1283,83719.66716843475,1010,944
2024-04-19,1300,84969.52628661244,1149,926
2024-04-20,1571,76361.23581928684,1305,1164
2024-04-21,1554,101004.61436144299,1139,1008
2024-04-22,1384,55381.983548522985,1074,842
2024-04-23,1238,85763.98177377864,976,976
2024-04-24,1100,41050.97689546005,905,749
2024-04-25,1362,100147.65566682539,1165,970
2024-04-26,1291,56850.175391743156,1075,823
2024-04-27,1636,66166.36640479452,1279,1012
2024-04-28,1594,111356.38769745998,1203,1254
2024-04-29,1339,36979.78003104296,1024,805
2024-04-30,1296,75988.9050664498,938,1019
2024-05-01,1328,80096.52283031683,1075,971
2024-05-02,1075,59437.33477538053,855,840
2024-05-03,1431,54353.470162784986,1241,989
2024-05-04,1433,104715.11190098315,1069,1102
2024-05-05,1255,56359.56609467583,927,913
2024-05-06,1191,41146.711783106424,854,764
2024-05-07,1117,55502.56544970032,960,868
2024-05-08,1335,43731.69603286352,1177,1006
2024-05-09,1261,40513.09948850236,890,864
2024-05-10,1321,50523.635469981906,1016,903
2024-05-11,1422,59862.3644183485,1023,993
2024-05-12,1332,60691.42202746499,1129,927
2024-05-13,1179,74708.790381188,1009,888
2024-05-14,1176,77330.6022939984,969,789
2024-05-15,1388,63194.9394855436,1047,962
2024-05-16,1387,90030.43897078666,1089,859
2024-05-17,1377,76078.12281007657,1210,996
2024-05-18,1546,85033.66174512559,1161,941
2024-05-19,1519,106536.34034386948,1325,1103
2024-05-20,1253,32974.60898951335,907,999
2024-05-21,1209,38251.29417421876,899,948
2024-05-22,1326,97469.71381699598,1182,1040
2024-05-23,1351,46495.91200902284,1150,1040
2024-05-24,1263,70823.29071477451,1088,1000
2024-05-25,1637,101690.40421079547,1389,1140
2024-05-26,1423,93892.3966042976,1170,1108
2024-05-27,1481,71067.87609832385,1250,984
2024-05-28,1436,55357.98111151381,1162,875
2024-05-29,1074,48760.33818859603,893,651
2024-05-30,1139,50647.0516230402,859,799
2024-05-31,1178,48737.35420097777,944,835
2024-06-01,1910,120803.98422080411,1360,1458
2024-06-02,1677,71036.54291804324,1345,1182
2024-06-03,1425,91153.77540507063,1031,1002
2024-06-04,1498,51486.29201004394,1295,1036
2024-06-05,1155,66110.38529064618,915,823
2024-06-06,1266,85670.95144694306,909,974
2024-06-07,1183,84617.49899506263,1051,714
2024-06-08,1706,53047.4047827067,1204,1117
2024-06-09,1404,42669.562183103415,1247,1087
2024-06-10,1511,80218.5347420203,1251,942
2024-06-11,1382,97748.77909048433,1191,1036
2024-06-12,1461,53143.74632676146,1168,932
2024-06-13,1403,44464.86802635549,1211,1092
2024-06-14,1342,84165.03447814364,1028,888
2024-06-15,1630,92784.38764663898,1385,1188
2024-06-16,1606,47289.77963035634,1395,1035
2024-06-17,1613,99805.20046549312,1328,998
2024-06-18,1567,56753.617905905536,1351,1146
2024-06-19,1496,109472.8399274793,1269,924
2024-06-20,1201,89951.00379437751,1041,801
2024-06-21,1203,87333.8721233617,922,838
2024-06-22,1835,95324.89686776904,1368,1270
2024-06-23,1794,114600.55706004176,1593,1188
2024-06-24,1152,32674.207745178024,873,696
2024-06-25,1235,89398.24869716655,912,741
2024-06-26,1302,89788.57590482035,970,839
2024-06-27,1478,47545.90426793961,1078,1134
2024-06-28,1544,82365.73446494405,1115,1034
2024-06-29,1715,70969.76482206138,1461,1130
2024-06-30,1679,57652.132515744306,1443,1324
2024-07-01,1234,47708.70657175642,953,886
2024-07-02,1491,97659.25311542983,1315,1134
2024-07-03,1365,63843.347467866566,1102,1048
2024-07-04,1507,59402.66970898531,1125,956
2024-07-05,1390,55511.20283232667,1058,1095
2024-07-06,1784,72464.32773934166,1336,1169
2024-07-07,1755,77430.80583336775,1356,1366
2024-07-08,1342,65925.96142896828,1189,979
2024-07-09,1108,30640.78986543537,862,726
2024-07-10,1260,86158.07641441906,905,778
2024-07-11,1402,96004.54570582752,1042,1086
2024-07-12,1049,37401.43750398629,914,700
2024-07-13,1824,64231.090502142346,1435,1202
2024-07-14,1922,76154.68010798389,1606,1419
2024-07-15,3483,119879.31975142291,2580,2615
2024-07-16,3135,162655.69523090165,2733,2472
2024-07-17,1393,44470.14046878691,1247,922
2024-07-18,1423,102189.84428095838,1048,972
2024-07-19,1278,37443.39793440843,1105,1009
2024-07-20,1836,70852.50522789804,1417,1342
2024-07-21,1806,68991.0392295512,1428,1225
2024-07-22,1168,60871.52550979235,1031,801
2024-07-23,1370,42647.22087819216,1031,866
2024-07-24,1505,44362.22662808321,1087,1197
2024-07-25,1566,110711.99412932133,1144,1214
2024-07-26,1603,66231.52767398828,1182,1261
2024-07-27,1688,116269.06082930195,1263,1055
2024-07-28,1829,119154.23869388178,1406,1320
2024-07-29,1594,88865.23588240218,1188,1082
2024-07-30,1493,53428.10183381981,1163,1083
2024-07-31,1112,69263.71972885323,801,787
2024-08-01,1484,85721.48803419275,1264,1174
2024-08-02,1747,45994.73265547507,1539,1216
2024-08-03,2071,115459.03648453207,1823,1598
2024-08-04,2143,102130.25167914075,1871,1616
2024-08-05,1845,82545.48789056063,1414,1440
2024-08-06,1661,119205.84119631338,1450,1184
2024-08-07,1419,38786.362050756514,1087,961
2024-08-08,1837,82730.5264503524,1590,1176
2024-08-09,1894,81553.71473456055,1561,1358
2024-08-10,2148,131082.9728864542,1889,1622
2024-08-11,1916,86855.14927480713,1674,1222
2024-08-12,2043,97035.96581107799,1546,1458
2024-08-13,1767,101950.96885068495,1301,1284
2024-08-14,1904,97265.79623357019,1581,1370
2024-08-15,1440,103643.56839703098,1010,925
2024-08-16,1581,81603.88506865459,1414,1026
2024-08-17,1759,104358.76733969236,1342,1102
2024-08-18,2118,77445.63542265535,1663,1684
2024-08-19,1886,64796.59773232964,1632,1490
2024-08-20,1806,87806.55162965078,1572,1154
2024-08-21,1898,75698.73072991872,1671,1189
2024-08-22,1682,46432.50162250479,1439,1021
2024-08-23,1443,90071.99983180052,1207,883
2024-08-24,2129,79663.09224835064,1801,1544
2024-08-25,1955,104053.56057635014,1562,1329
2024-08-26,1651,118163.3531136676,1304,1236
2024-08-27,1890,127632.42222598339,1505,1300
2024-08-28,1573,60789.537348772996,1186,1146
2024-08-29,1576,110738.06618148937,1221,1043
2024-08-30,1435,37855.874814293136,1152,1104
2024-08-31,2272,82363.9718876813,1982,1420
2024-09-01,1710,94381.18464967574,1330,1288
2024-09-02,1189,70881.71552426205,863,731
2024-09-03,1117,41667.17513018891,989,694
2024-09-04,1284,61525.51758042745,988,820
2024-09-05,1395,61878.778061756486,1184,973
