DateKey,Date,Annee,Mois,MoisNom,MoisFrancais,Trimestre,TrimestreAnnee,SortOrder,AnneeMonth,MoisComplet,JourSemaine,JourSemaineNom,JourSemaineFrancais,EstWeekend,EstDebutMois,EstFinMois,SortOrderJour,SortOrderJourSemaine,SortOrderJourSemaineFr
20240930,2024-09-30,2024,9,September,Septembre,T3,2024-T3,202409,2024-09,Sep 2024,1,Monday,Lundi,0,0,1,20240930,1,1
20241001,2024-10-01,2024,10,October,Octobre,T4,2024-T4,202410,2024-10,Oct 2024,2,Tuesday,Mardi,0,1,0,20241001,2,2
20241002,2024-10-02,2024,10,October,Octobre,T4,2024-T4,202410,2024-10,Oct 2024,3,Wednesday,Mercredi,0,0,0,20241002,3,3
20241003,2024-10-03,2024,10,October,Octobre,T4,2024-T4,202410,2024-10,Oct 2024,4,Thursday,Jeudi,0,0,0,20241003,4,4
20241004,2024-10-04,2024,10,October,Octobre,T4,2024-T4,202410,2024-10,Oct 2024,5,Friday,Vendredi,0,0,0,20241004,5,5
20241005,2024-10-05,2024,10,October,Octobre,T4,2024-T4,202410,2024-10,Oct 2024,6,Saturday,Samedi,1,0,0,20241005,6,6
20241006,2024-10-06,2024,10,October,Octobre,T4,2024-T4,202410,2024-10,Oct 2024,7,Sunday,Dimanche,1,0,0,20241006,7,7
20241007,2024-10-07,2024,10,October,Octobre,T4,2024-T4,202410,2024-10,Oct 2024,1,Monday,Lundi,0,0,0,20241007,1,1
20241008,2024-10-08,2024,10,October,Octobre,T4,2024-T4,202410,2024-10,Oct 2024,2,Tuesday,Mardi,0,0,0,20241008,2,2
20241009,2024-10-09,2024,10,October,Octobre,T4,2024-T4,202410,2024-10,Oct 2024,3,Wednesday,Mercredi,0,0,0,20241009,3,3
20241010,2024-10-10,2024,10,October,Octobre,T4,2024-T4,202410,2024-10,Oct 2024,4,Thursday,Jeudi,0,0,0,20241010,4,4
20241011,2024-10-11,2024,10,October,Octobre,T4,2024-T4,202410,2024-10,Oct 2024,5,Friday,Vendredi,0,0,0,20241011,5,5
20241012,2024-10-12,2024,10,October,Octobre,T4,2024-T4,202410,2024-10,Oct 2024,6,Saturday,Samedi,1,0,0,20241012,6,6
20241013,2024-10-13,2024,10,October,Octobre,T4,2024-T4,202410,2024-10,Oct 2024,7,Sunday,Dimanche,1,0,0,20241013,7,7
20241014,2024-10-14,2024,10,October,Octobre,T4,2024-T4,202410,2024-10,Oct 2024,1,Monday,Lundi,0,0,0,20241014,1,1
20241015,2024-10-15,2024,10,October,Octobre,T4,2024-T4,202410,2024-10,Oct 2024,2,Tuesday,Mardi,0,0,0,20241015,2,2
20241016,2024-10-16,2024,10,October,Octobre,T4,2024-T4,202410,2024-10,Oct 2024,3,Wednesday,Mercredi,0,0,0,20241016,3,3
20241017,2024-10-17,2024,10,October,Octobre,T4,2024-T4,202410,2024-10,Oct 2024,4,Thursday,Jeudi,0,0,0,20241017,4,4
20241018,2024-10-18,2024,10,October,Octobre,T4,2024-T4,202410,2024-10,Oct 2024,5,Friday,Vendredi,0,0,0,20241018,5,5
20241019,2024-10-19,2024,10,October,Octobre,T4,2024-T4,202410,2024-10,Oct 2024,6,Saturday,Samedi,1,0,0,20241019,6,6
20241020,2024-10-20,2024,10,October,Octobre,T4,2024-T4,202410,2024-10,Oct 2024,7,Sunday,Dimanche,1,0,0,20241020,7,7
20241021,2024-10-21,2024,10,October,Octobre,T4,2024-T4,202410,2024-10,Oct 2024,1,Monday,Lundi,0,0,0,20241021,1,1
20241022,2024-10-22,2024,10,October,Octobre,T4,2024-T4,202410,2024-10,Oct 2024,2,Tuesday,Mardi,0,0,0,20241022,2,2
20241023,2024-10-23,2024,10,October,Octobre,T4,2024-T4,202410,2024-10,Oct 2024,3,Wednesday,Mercredi,0,0,0,20241023,3,3
20241024,2024-10-24,2024,10,October,Octobre,T4,2024-T4,202410,2024-10,Oct 2024,4,Thursday,Jeudi,0,0,0,20241024,4,4
20241025,2024-10-25,2024,10,October,Octobre,T4,2024-T4,202410,2024-10,Oct 2024,5,Friday,Vendredi,0,0,0,20241025,5,5
20241026,2024-10-26,2024,10,October,Octobre,T4,2024-T4,202410,2024-10,Oct 2024,6,Saturday,Samedi,1,0,0,20241026,6,6
20241027,2024-10-27,2024,10,October,Octobre,T4,2024-T4,202410,2024-10,Oct 2024,7,Sunday,Dimanche,1,0,0,20241027,7,7
20241028,2024-10-28,2024,10,October,Octobre,T4,2024-T4,202410,2024-10,Oct 2024,1,Monday,Lundi,0,0,0,20241028,1,1
20241029,2024-10-29,2024,10,October,Octobre,T4,2024-T4,202410,2024-10,Oct 2024,2,Tuesday,Mardi,0,0,0,20241029,2,2
20241030,2024-10-30,2024,10,October,Octobre,T4,2024-T4,202410,2024-10,Oct 2024,3,Wednesday,Mercredi,0,0,0,20241030,3,3
20241031,2024-10-31,2024,10,October,Octobre,T4,2024-T4,202410,2024-10,Oct 2024,4,Thursday,Jeudi,0,0,1,20241031,4,4
20241101,2024-11-01,2024,11,November,Novembre,T4,2024-T4,202411,2024-11,Nov 2024,5,Friday,Vendredi,0,1,0,20241101,5,5
20241102,2024-11-02,2024,11,November,Novembre,T4,2024-T4,202411,2024-11,Nov 2024,6,Saturday,Samedi,1,0,0,20241102,6,6
20241103,2024-11-03,2024,11,November,Novembre,T4,2024-T4,202411,2024-11,Nov 2024,7,Sunday,Dimanche,1,0,0,20241103,7,7
20241104,2024-11-04,2024,11,November,Novembre,T4,2024-T4,202411,2024-11,Nov 2024,1,Monday,Lundi,0,0,0,20241104,1,1
20241105,2024-11-05,2024,11,November,Novembre,T4,2024-T4,202411,2024-11,Nov 2024,2,Tuesday,Mardi,0,0,0,20241105,2,2
20241106,2024-11-06,2024,11,November,Novembre,T4,2024-T4,202411,2024-11,Nov 2024,3,Wednesday,Mercredi,0,0,0,20241106,3,3
20241107,2024-11-07,2024,11,November,Novembre,T4,2024-T4,202411,2024-11,Nov 2024,4,Thursday,Jeudi,0,0,0,20241107,4,4
20241108,2024-11-08,2024,11,November,Novembre,T4,2024-T4,202411,2024-11,Nov 2024,5,Friday,Vendredi,0,0,0,20241108,5,5
20241109,2024-11-09,2024,11,November,Novembre,T4,2024-T4,202411,2024-11,Nov 2024,6,Saturday,Samedi,1,0,0,20241109,6,6
20241110,2024-11-10,2024,11,November,Novembre,T4,2024-T4,202411,2024-11,Nov 2024,7,Sunday,Dimanche,1,0,0,20241110,7,7
20241111,2024-11-11,2024,11,November,Novembre,T4,2024-T4,202411,2024-11,Nov 2024,1,Monday,Lundi,0,0,0,20241111,1,1
20241112,2024-11-12,2024,11,November,Novembre,T4,2024-T4,202411,2024-11,Nov 2024,2,Tuesday,Mardi,0,0,0,20241112,2,2
20241113,2024-11-13,2024,11,November,Novembre,T4,2024-T4,202411,2024-11,Nov 2024,3,Wednesday,Mercredi,0,0,0,20241113,3,3
20241114,2024-11-14,2024,11,November,Novembre,T4,2024-T4,202411,2024-11,Nov 2024,4,Thursday,Jeudi,0,0,0,20241114,4,4
20241115,2024-11-15,2024,11,November,Novembre,T4,2024-T4,202411,2024-11,Nov 2024,5,Friday,Vendredi,0,0,0,20241115,5,5
20241116,2024-11-16,2024,11,November,Novembre,T4,2024-T4,202411,2024-11,Nov 2024,6,Saturday,Samedi,1,0,0,20241116,6,6
20241117,2024-11-17,2024,11,November,Novembre,T4,2024-T4,202411,2024-11,Nov 2024,7,Sunday,Dimanche,1,0,0,20241117,7,7
20241118,2024-11-18,2024,11,November,Novembre,T4,2024-T4,202411,2024-11,Nov 2024,1,Monday,Lundi,0,0,0,20241118,1,1
20241119,2024-11-19,2024,11,November,Novembre,T4,2024-T4,202411,2024-11,Nov 2024,2,Tuesday,Mardi,0,0,0,20241119,2,2
20241120,2024-11-20,2024,11,November,Novembre,T4,2024-T4,202411,2024-11,Nov 2024,3,Wednesday,Mercredi,0,0,0,20241120,3,3
20241121,2024-11-21,2024,11,November,Novembre,T4,2024-T4,202411,2024-11,Nov 2024,4,Thursday,Jeudi,0,0,0,20241121,4,4
20241122,2024-11-22,2024,11,November,Novembre,T4,2024-T4,202411,2024-11,Nov 2024,5,Friday,Vendredi,0,0,0,20241122,5,5
20241123,2024-11-23,2024,11,November,Novembre,T4,2024-T4,202411,2024-11,Nov 2024,6,Saturday,Samedi,1,0,0,20241123,6,6
20241124,2024-11-24,2024,11,November,Novembre,T4,2024-T4,202411,2024-11,Nov 2024,7,Sunday,Dimanche,1,0,0,20241124,7,7
20241125,2024-11-25,2024,11,November,Novembre,T4,2024-T4,202411,2024-11,Nov 2024,1,Monday,Lundi,0,0,0,20241125,1,1
20241126,2024-11-26,2024,11,November,Novembre,T4,2024-T4,202411,2024-11,Nov 2024,2,Tuesday,Mardi,0,0,0,20241126,2,2
20241127,2024-11-27,2024,11,November,Novembre,T4,2024-T4,202411,2024-11,Nov 2024,3,Wednesday,Mercredi,0,0,0,20241127,3,3
20241128,2024-11-28,2024,11,November,Novembre,T4,2024-T4,202411,2024-11,Nov 2024,4,Thursday,Jeudi,0,0,0,20241128,4,4
20241129,2024-11-29,2024,11,November,Novembre,T4,2024-T4,202411,2024-11,Nov 2024,5,Friday,Vendredi,0,0,0,20241129,5,5
20241130,2024-11-30,2024,11,November,Novembre,T4,2024-T4,202411,2024-11,Nov 2024,6,Saturday,Samedi,1,0,1,20241130,6,6
20241201,2024-12-01,2024,12,December,Décembre,T4,2024-T4,202412,2024-12,Dec 2024,7,Sunday,Dimanche,1,1,0,20241201,7,7
20241202,2024-12-02,2024,12,December,Décembre,T4,2024-T4,202412,2024-12,Dec 2024,1,Monday,Lundi,0,0,0,20241202,1,1
20241203,2024-12-03,2024,12,December,Décembre,T4,2024-T4,202412,2024-12,Dec 2024,2,Tuesday,Mardi,0,0,0,20241203,2,2
20241204,2024-12-04,2024,12,December,Décembre,T4,2024-T4,202412,2024-12,Dec 2024,3,Wednesday,Mercredi,0,0,0,20241204,3,3
20241205,2024-12-05,2024,12,December,Décembre,T4,2024-T4,202412,2024-12,Dec 2024,4,Thursday,Jeudi,0,0,0,20241205,4,4
20241206,2024-12-06,2024,12,December,Décembre,T4,2024-T4,202412,2024-12,Dec 2024,5,Friday,Vendredi,0,0,0,20241206,5,5
20241207,2024-12-07,2024,12,December,Décembre,T4,2024-T4,202412,2024-12,Dec 2024,6,Saturday,Samedi,1,0,0,20241207,6,6
20241208,2024-12-08,2024,12,December,Décembre,T4,2024-T4,202412,2024-12,Dec 2024,7,Sunday,Dimanche,1,0,0,20241208,7,7
20241209,2024-12-09,2024,12,December,Décembre,T4,2024-T4,202412,2024-12,Dec 2024,1,Monday,Lundi,0,0,0,20241209,1,1
20241210,2024-12-10,2024,12,December,Décembre,T4,2024-T4,202412,2024-12,Dec 2024,2,Tuesday,Mardi,0,0,0,20241210,2,2
20241211,2024-12-11,2024,12,December,Décembre,T4,2024-T4,202412,2024-12,Dec 2024,3,Wednesday,Mercredi,0,0,0,20241211,3,3
20241212,2024-12-12,2024,12,December,Décembre,T4,2024-T4,202412,2024-12,Dec 2024,4,Thursday,Jeudi,0,0,0,20241212,4,4
20241213,2024-12-13,2024,12,December,Décembre,T4,2024-T4,202412,2024-12,Dec 2024,5,Friday,Vendredi,0,0,0,20241213,5,5
20241214,2024-12-14,2024,12,December,Décembre,T4,2024-T4,202412,2024-12,Dec 2024,6,Saturday,Samedi,1,0,0,20241214,6,6
20241215,2024-12-15,2024,12,December,Décembre,T4,2024-T4,202412,2024-12,Dec 2024,7,Sunday,Dimanche,1,0,0,20241215,7,7
20241216,2024-12-16,2024,12,December,Décembre,T4,2024-T4,202412,2024-12,Dec 2024,1,Monday,Lundi,0,0,0,20241216,1,1
20241217,2024-12-17,2024,12,December,Décembre,T4,2024-T4,202412,2024-12,Dec 2024,2,Tuesday,Mardi,0,0,0,20241217,2,2
20241218,2024-12-18,2024,12,December,Décembre,T4,2024-T4,202412,2024-12,Dec 2024,3,Wednesday,Mercredi,0,0,0,20241218,3,3
20241219,2024-12-19,2024,12,December,Décembre,T4,2024-T4,202412,2024-12,Dec 2024,4,Thursday,Jeudi,0,0,0,20241219,4,4
20241220,2024-12-20,2024,12,December,Décembre,T4,2024-T4,202412,2024-12,Dec 2024,5,Friday,Vendredi,0,0,0,20241220,5,5
20241221,2024-12-21,2024,12,December,Décembre,T4,2024-T4,202412,2024-12,Dec 2024,6,Saturday,Samedi,1,0,0,20241221,6,6
20241222,2024-12-22,2024,12,December,Décembre,T4,2024-T4,202412,2024-12,Dec 2024,7,Sunday,Dimanche,1,0,0,20241222,7,7
20241223,2024-12-23,2024,12,December,Décembre,T4,2024-T4,202412,2024-12,Dec 2024,1,Monday,Lundi,0,0,0,20241223,1,1
20241224,2024-12-24,2024,12,December,Décembre,T4,2024-T4,202412,2024-12,Dec 2024,2,Tuesday,Mardi,0,0,0,20241224,2,2
20241225,2024-12-25,2024,12,December,Décembre,T4,2024-T4,202412,2024-12,Dec 2024,3,Wednesday,Mercredi,0,0,0,20241225,3,3
20241226,2024-12-26,2024,12,December,Décembre,T4,2024-T4,202412,2024-12,Dec 2024,4,Thursday,Jeudi,0,0,0,20241226,4,4
20241227,2024-12-27,2024,12,December,Décembre,T4,2024-T4,202412,2024-12,Dec 2024,5,Friday,Vendredi,0,0,0,20241227,5,5
20241228,2024-12-28,2024,12,December,Décembre,T4,2024-T4,202412,2024-12,Dec 2024,6,Saturday,Samedi,1,0,0,20241228,6,6
20241229,2024-12-29,2024,12,December,Décembre,T4,2024-T4,202412,2024-12,Dec 2024,7,Sunday,Dimanche,1,0,0,20241229,7,7
20241230,2024-12-30,2024,12,December,Décembre,T4,2024-T4,202412,2024-12,Dec 2024,1,Monday,Lundi,0,0,0,20241230,1,1
20241231,2024-12-31,2024,12,December,Décembre,T4,2024-T4,202412,2024-12,Dec 2024,2,Tuesday,Mardi,0,0,1,20241231,2,2
20250101,2025-01-01,2025,1,January,Janvier,T1,2025-T1,202501,2025-01,Jan 2025,3,Wednesday,Mercredi,0,1,0,20250101,3,3
20250102,2025-01-02,2025,1,January,Janvier,T1,2025-T1,202501,2025-01,Jan 2025,4,Thursday,Jeudi,0,0,0,20250102,4,4
20250103,2025-01-03,2025,1,January,Janvier,T1,2025-T1,202501,2025-01,Jan 2025,5,Friday,Vendredi,0,0,0,20250103,5,5
20250104,2025-01-04,2025,1,January,Janvier,T1,2025-T1,202501,2025-01,Jan 2025,6,Saturday,Samedi,1,0,0,20250104,6,6
20250105,2025-01-05,2025,1,January,Janvier,T1,2025-T1,202501,2025-01,Jan 2025,7,Sunday,Dimanche,1,0,0,20250105,7,7
20250106,2025-01-06,2025,1,January,Janvier,T1,2025-T1,202501,2025-01,Jan 2025,1,Monday,Lundi,0,0,0,20250106,1,1
20250107,2025-01-07,2025,1,January,Janvier,T1,2025-T1,202501,2025-01,Jan 2025,2,Tuesday,Mardi,0,0,0,20250107,2,2
20250108,2025-01-08,2025,1,January,Janvier,T1,2025-T1,202501,2025-01,Jan 2025,3,Wednesday,Mercredi,0,0,0,20250108,3,3
20250109,2025-01-09,2025,1,January,Janvier,T1,2025-T1,202501,2025-01,Jan 2025,4,Thursday,Jeudi,0,0,0,20250109,4,4
20250110,2025-01-10,2025,1,January,Janvier,T1,2025-T1,202501,2025-01,Jan 2025,5,Friday,Vendredi,0,0,0,20250110,5,5
20250111,2025-01-11,2025,1,January,Janvier,T1,2025-T1,202501,2025-01,Jan 2025,6,Saturday,Samedi,1,0,0,20250111,6,6
20250112,2025-01-12,2025,1,January,Janvier,T1,2025-T1,202501,2025-01,Jan 2025,7,Sunday,Dimanche,1,0,0,20250112,7,7
20250113,2025-01-13,2025,1,January,Janvier,T1,2025-T1,202501,2025-01,Jan 2025,1,Monday,Lundi,0,0,0,20250113,1,1
20250114,2025-01-14,2025,1,January,Janvier,T1,2025-T1,202501,2025-01,Jan 2025,2,Tuesday,Mardi,0,0,0,20250114,2,2
20250115,2025-01-15,2025,1,January,Janvier,T1,2025-T1,202501,2025-01,Jan 2025,3,Wednesday,Mercredi,0,0,0,20250115,3,3
20250116,2025-01-16,2025,1,January,Janvier,T1,2025-T1,202501,2025-01,Jan 2025,4,Thursday,Jeudi,0,0,0,20250116,4,4
20250117,2025-01-17,2025,1,January,Janvier,T1,2025-T1,202501,2025-01,Jan 2025,5,Friday,Vendredi,0,0,0,20250117,5,5
20250118,2025-01-18,2025,1,January,Janvier,T1,2025-T1,202501,2025-01,Jan 2025,6,Saturday,Samedi,1,0,0,20250118,6,6
20250119,2025-01-19,2025,1,January,Janvier,T1,2025-T1,202501,2025-01,Jan 2025,7,Sunday,Dimanche,1,0,0,20250119,7,7
20250120,2025-01-20,2025,1,January,Janvier,T1,2025-T1,202501,2025-01,Jan 2025,1,Monday,Lundi,0,0,0,20250120,1,1
20250121,2025-01-21,2025,1,January,Janvier,T1,2025-T1,202501,2025-01,Jan 2025,2,Tuesday,Mardi,0,0,0,20250121,2,2
20250122,2025-01-22,2025,1,January,Janvier,T1,2025-T1,202501,2025-01,Jan 2025,3,Wednesday,Mercredi,0,0,0,20250122,3,3
20250123,2025-01-23,2025,1,January,Janvier,T1,2025-T1,202501,2025-01,Jan 2025,4,Thursday,Jeudi,0,0,0,20250123,4,4
20250124,2025-01-24,2025,1,January,Janvier,T1,2025-T1,202501,2025-01,Jan 2025,5,Friday,Vendredi,0,0,0,20250124,5,5
20250125,2025-01-25,2025,1,January,Janvier,T1,2025-T1,202501,2025-01,Jan 2025,6,Saturday,Samedi,1,0,0,20250125,6,6
20250126,2025-01-26,2025,1,January,Janvier,T1,2025-T1,202501,2025-01,Jan 2025,7,Sunday,Dimanche,1,0,0,20250126,7,7
20250127,2025-01-27,2025,1,January,Janvier,T1,2025-T1,202501,2025-01,Jan 2025,1,Monday,Lundi,0,0,0,20250127,1,1
20250128,2025-01-28,2025,1,January,Janvier,T1,2025-T1,202501,2025-01,Jan 2025,2,Tuesday,Mardi,0,0,0,20250128,2,2
20250129,2025-01-29,2025,1,January,Janvier,T1,2025-T1,202501,2025-01,Jan 2025,3,Wednesday,Mercredi,0,0,0,20250129,3,3
20250130,2025-01-30,2025,1,January,Janvier,T1,2025-T1,202501,2025-01,Jan 2025,4,Thursday,Jeudi,0,0,0,20250130,4,4
20250131,2025-01-31,2025,1,January,Janvier,T1,2025-T1,202501,2025-01,Jan 2025,5,Friday,Vendredi,0,0,1,20250131,5,5
20250201,2025-02-01,2025,2,February,Février,T1,2025-T1,202502,2025-02,Feb 2025,6,Saturday,Samedi,1,1,0,20250201,6,6
20250202,2025-02-02,2025,2,February,Février,T1,2025-T1,202502,2025-02,Feb 2025,7,Sunday,Dimanche,1,0,0,20250202,7,7
20250203,2025-02-03,2025,2,February,Février,T1,2025-T1,202502,2025-02,Feb 2025,1,Monday,Lundi,0,0,0,20250203,1,1
20250204,2025-02-04,2025,2,February,Février,T1,2025-T1,202502,2025-02,Feb 2025,2,Tuesday,Mardi,0,0,0,20250204,2,2
20250205,2025-02-05,2025,2,February,Février,T1,2025-T1,202502,2025-02,Feb 2025,3,Wednesday,Mercredi,0,0,0,20250205,3,3
20250206,2025-02-06,2025,2,February,Février,T1,2025-T1,202502,2025-02,Feb 2025,4,Thursday,Jeudi,0,0,0,20250206,4,4
20250207,2025-02-07,2025,2,February,Février,T1,2025-T1,202502,2025-02,Feb 2025,5,Friday,Vendredi,0,0,0,20250207,5,5
20250208,2025-02-08,2025,2,February,Février,T1,2025-T1,202502,2025-02,Feb 2025,6,Saturday,Samedi,1,0,0,20250208,6,6
20250209,2025-02-09,2025,2,February,Février,T1,2025-T1,202502,2025-02,Feb 2025,7,Sunday,Dimanche,1,0,0,20250209,7,7
20250210,2025-02-10,2025,2,February,Février,T1,2025-T1,202502,2025-02,Feb 2025,1,Monday,Lundi,0,0,0,20250210,1,1
20250211,2025-02-11,2025,2,February,Février,T1,2025-T1,202502,2025-02,Feb 2025,2,Tuesday,Mardi,0,0,0,20250211,2,2
20250212,2025-02-12,2025,2,February,Février,T1,2025-T1,202502,2025-02,Feb 2025,3,Wednesday,Mercredi,0,0,0,20250212,3,3
20250213,2025-02-13,2025,2,February,Février,T1,2025-T1,202502,2025-02,Feb 2025,4,Thursday,Jeudi,0,0,0,20250213,4,4
20250214,2025-02-14,2025,2,February,Février,T1,2025-T1,202502,2025-02,Feb 2025,5,Friday,Vendredi,0,0,0,20250214,5,5
20250215,2025-02-15,2025,2,February,Février,T1,2025-T1,202502,2025-02,Feb 2025,6,Saturday,Samedi,1,0,0,20250215,6,6
20250216,2025-02-16,2025,2,February,Février,T1,2025-T1,202502,2025-02,Feb 2025,7,Sunday,Dimanche,1,0,0,20250216,7,7
20250217,2025-02-17,2025,2,February,Février,T1,2025-T1,202502,2025-02,Feb 2025,1,Monday,Lundi,0,0,0,20250217,1,1
20250218,2025-02-18,2025,2,February,Février,T1,2025-T1,202502,2025-02,Feb 2025,2,Tuesday,Mardi,0,0,0,20250218,2,2
20250219,2025-02-19,2025,2,February,Février,T1,2025-T1,202502,2025-02,Feb 2025,3,Wednesday,Mercredi,0,0,0,20250219,3,3
20250220,2025-02-20,2025,2,February,Février,T1,2025-T1,202502,2025-02,Feb 2025,4,Thursday,Jeudi,0,0,0,20250220,4,4
20250221,2025-02-21,2025,2,February,Février,T1,2025-T1,202502,2025-02,Feb 2025,5,Friday,Vendredi,0,0,0,20250221,5,5
20250222,2025-02-22,2025,2,February,Février,T1,2025-T1,202502,2025-02,Feb 2025,6,Saturday,Samedi,1,0,0,20250222,6,6
20250223,2025-02-23,2025,2,February,Février,T1,2025-T1,202502,2025-02,Feb 2025,7,Sunday,Dimanche,1,0,0,20250223,7,7
20250224,2025-02-24,2025,2,February,Février,T1,2025-T1,202502,2025-02,Feb 2025,1,Monday,Lundi,0,0,0,20250224,1,1
20250225,2025-02-25,2025,2,February,Février,T1,2025-T1,202502,2025-02,Feb 2025,2,Tuesday,Mardi,0,0,0,20250225,2,2
20250226,2025-02-26,2025,2,February,Février,T1,2025-T1,202502,2025-02,Feb 2025,3,Wednesday,Mercredi,0,0,0,20250226,3,3
20250227,2025-02-27,2025,2,February,Février,T1,2025-T1,202502,2025-02,Feb 2025,4,Thursday,Jeudi,0,0,0,20250227,4,4
20250228,2025-02-28,2025,2,February,Février,T1,2025-T1,202502,2025-02,Feb 2025,5,Friday,Vendredi,0,0,1,20250228,5,5
20250301,2025-03-01,2025,3,March,Mars,T1,2025-T1,202503,2025-03,Mar 2025,6,Saturday,Samedi,1,1,0,20250301,6,6
20250302,2025-03-02,2025,3,March,Mars,T1,2025-T1,202503,2025-03,Mar 2025,7,Sunday,Dimanche,1,0,0,20250302,7,7
20250303,2025-03-03,2025,3,March,Mars,T1,2025-T1,202503,2025-03,Mar 2025,1,Monday,Lundi,0,0,0,20250303,1,1
20250304,2025-03-04,2025,3,March,Mars,T1,2025-T1,202503,2025-03,Mar 2025,2,Tuesday,Mardi,0,0,0,20250304,2,2
20250305,2025-03-05,2025,3,March,Mars,T1,2025-T1,202503,2025-03,Mar 2025,3,Wednesday,Mercredi,0,0,0,20250305,3,3
20250306,2025-03-06,2025,3,March,Mars,T1,2025-T1,202503,2025-03,Mar 2025,4,Thursday,Jeudi,0,0,0,20250306,4,4
